# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	125272
#@/user_id	10b11703-f11b-4ced-93f3-8972fad5e0e5
a 	啊	c=1470 d=8.42141 t=125272
a bei 	阿北	c=1 d=1.17276e-110 t=125272
a bo 	阿伯	c=0 d=5.42195e-212 t=125272
a bo cun 	阿伯村	c=1 d=5.44912e-211 t=125272
a bu 	阿布	c=1 d=3.27385e-217 t=125272
a bu ne ge 	啊不呢個	c=2 d=1.02094e-126 t=125272
a di fang 	啊地方	c=2 d=6.85965e-184 t=125272
a dou 	阿斗	c=0 d=7.77276e-214 t=125272
a fan da 	阿凡達	c=1 d=1.10344e-11 t=125272
a fu 	阿富	c=1 d=5.91522e-206 t=125272
a ge 	阿哥	c=1 d=1.57738e-244 t=125272
a ha 	啊哈	c=0 d=2.24045e-197 t=125272
a ha hao 	啊哈好	c=2 d=5.14261e-177 t=125272
a la bo 	阿拉伯	c=3 d=2.09359e-75 t=125272
a la ding 	阿拉丁	c=0 d=2.29148e-256 t=125272
a li 	阿里	c=5 d=2.23413e-104 t=125272
a li shan da 	阿歷山大	c=0 d=1.283e-256 t=125272
a li shan da jiu fa sheng 	阿歷山大就發生	c=1 d=1.28943e-255 t=125272
a li xian 	啊離線	c=1 d=2.22298e-104 t=125272
a long suo 	阿隆索	c=0 d=2.09426e-256 t=125272
a long suo da jia fa kuan di san fang 	阿隆索大家罰款第三方	c=1 d=2.10475e-255 t=125272
a luo si dao jian fa 	啊螺絲刀剪髮	c=1 d=3.02077e-06 t=125272
a ni 	阿尼	c=0 d=6.08565e-247 t=125272
a shi fou 	啊是否	c=1 d=1.42199e-255 t=125272
a shi fou jiao ao shi da fu 	啊是否驕傲士大夫	c=1 d=1.39683e-255 t=125272
a shui li fang 	啊水立方	c=1 d=3.0057e-06 t=125272
a si dun 	阿斯頓	c=1 d=2.12484e-250 t=125272
a si dun fa 	阿斯頓發	c=11 d=5.25749e-125 t=125272
a si dun fa jiu 	阿斯頓發就	c=2 d=3.29196e-125 t=125272
a si dun fa kong jian 	阿斯頓發空間	c=1 d=1.68732e-125 t=125272
a si dun fa shi da fu 	阿斯頓發士大夫	c=1 d=2.09426e-255 t=125272
a si dun ka luo si da fei ji a 	阿斯頓卡洛斯打飛機啊	c=1 d=2.1259e-255 t=125272
a si dun kan feng jing 	阿斯頓看風景	c=2 d=1.69577e-125 t=125272
a si dun lu fang ji 	阿斯頓錄放機	c=1 d=2.13548e-249 t=125272
a si lan 	阿斯蘭	c=0 d=2.08275e-250 t=125272
a si lan da fei ji 	阿斯蘭打飛機	c=3 d=3.03591e-06 t=125272
a suo fa sheng di fang 	啊所發生地方	c=1 d=2.93149e-06 t=125272
a yan 	啊眼	c=1 d=1.06326e-192 t=125272
a yi 	阿姨	c=2 d=1.93707 t=123586
ai 	哎	c=256 d=0.930568 t=125272
ai 	唉	c=2 d=3.05469e-196 t=125272
ai 	愛	c=22 d=0.173774 t=125272
ai 	挨	c=1 d=3.4753e-08 t=125272
ai 	捱	c=1 d=2.52189e-147 t=125272
ai 	矮	c=2 d=4.15264e-44 t=125272
ai bu 	愛不	c=1 d=1.31323e-88 t=125272
ai bu ai 	愛不愛	c=2 d=1.30016e-88 t=125272
ai de 	愛的	c=0 d=4.87456e-254 t=125272
ai de ke ai 	愛的可愛	c=1 d=4.89899e-253 t=125272
ai e 	捱餓	c=1 d=8.99902e-113 t=125272
ai hao 	愛好	c=2 d=1.11094e-112 t=125272
ai lian 	愛戀	c=0 d=1.56365e-201 t=125272
ai mi 	艾米	c=1 d=6.21951e-61 t=125272
ai ni 	愛你	c=0 d=4.95597e-243 t=125272
ai qing 	愛情	c=3 d=1.63738e-07 t=125272
ai ren 	愛人	c=1 d=3.29482e-57 t=125272
ai rong chong 	埃榮衝	c=0 d=2.98943e-237 t=125272
ai shang 	愛上	c=0 d=1.2959e-256 t=125272
ai shang di fang la ji 	愛上地方垃圾	c=1 d=1.30239e-255 t=125272
ai si ku duo 	埃斯庫多	c=0 d=6.08703e-07 t=125272
ai si ku duo fei ji 	埃斯庫多飛機	c=2 d=6.1482e-06 t=125272
ai si ku duo jian fa 	埃斯庫多剪髮	c=1 d=3.05113e-06 t=125272
